ShipName,ShipType,Nationality
Na Sa DEL VALLE,PAQUEBOTE,Spanish
SANTO CRISTO DEL CALVARIO,POLACRA,Spanish
"Na Sa DEL ROSARIO, (LA PAZ)",FRAGATA,Spanish
DESCONOCIDO-14,BERGANTÍN,Spanish
DESCONOCIDO-14,,Spanish
DESCONOCIDO-15,PAQUEBOTE,Spanish
LOS TRES AMIGOS,BERGANTÍN,Spanish
EL GALLARDO,NAVÍO,Spanish
GRANIZO,PAQUEBOTE,Spanish
PERPETUA,FRAGATA,Spanish
SAN PASCUAL,NAVÍO,Spanish
EL FÉNIX,NAVÍO,Spanish
SAN JUSTO,NAVÍO,Spanish
EL MARLLORQUÍN,JABEQUE,Spanish
DESCONOCIDO-16,FRAGATA,Spanish
DESCONOCIDO-17,NAVÍO,Spanish
DESCONOCIDO-18,NAVÍO,Spanish
ATREVIDA Y DESCUBIERTA,CORBETAS,Spanish
Victor,sloop,British
SANTA ELENA,FRAGATA,Spanish
SAN ISIDORO,NAVÍO,Spanish
DESCONOCIDO-19,FRAGATA,Spanish
Sheerness,5th rate,British
Gibraltar,3rd Rate,British
Isis,4th rate,British
Isis,4th Rate,British
Hunter,Sloop,British
Trusty,4th rate,British
Victorious,3rd rate,British
Suffolk,3rd rate,British
Active,5th rate,British
Active,6th Rate Frigat,British
Sybille,5th rate,British
LA VENUS,PAQUEBOTE,Spanish
SAN JOSEPH,NAVÍO,Spanish
SAN JOSEPH,DESCONOCIDO,Spanish
SANT JOSEPH,NAVÍO,Spanish
LA FENIX,GOLETA GUARDA C,Spanish
LA DESCUBIERTA,DESCONOCIDO,Spanish
DESCONOCIDO-21,PAQUEBOTE,Spanish
DESCONOCIDO-20,NAVÍO,Spanish
DESCONOCIDO-22,NAVÍO,Spanish
SAN PABLO (ALIAS LA FAVORITA),FRAGATA,Spanish
MARQUESA DE BALVUENA,FRAGATA,Spanish
EL CARMEN (ALIAS EL SALVADOR),FRAGATA,Spanish
EL JUPITER,FRAGATA,Spanish
EL JUPITER,PAQUEBOTE,Spanish
Na Sa DE LOS DOLORES,PAQUEBOTE,Spanish
Na Sa DE LOS DOLORES,FRAGATA,Spanish
SAN JAIME (EL VALENCIANO),BERGANTÍN,Spanish
SANTA TERESA DE JESÚS,NAVÍO,Spanish
EL MONARCA,NAVÍO,Spanish
EL MONARCA,PAQUEBOTE,Spanish
EL ANDALUZ,CHAMBEQUÍN,Spanish
Swift,sloop,British
Bristol,4th Rate,British
Naiade,6th Rate,British
Anna,,Dutch
Anna,Zeilschip,Dutch
Delphina,,Dutch
Philadelphia,,Dutch
Mermaid,6th Rate,British
Medway,4th Rate,British
Hampshire,,British
Hampshire,4th Rate,British
Norwich,5th Rate,British
Woolwich,,British
Woolwich,5th Rate,British
Woolwich,storeship,British
Gibraltar,6th Rate,British
Namur,2nd Rate,British
Falkland,4th Rate,British
Lively,6th Rate,British
Grafton,3rd Rate,British
Dublin,3rd Rate,British
Queenborough,6th Rate,British
Lowestoffe,6th Rate,British
Falmouth,4th Rate,British
Lynn,5th Rate,British
Aurora,5th Rate,British
Levant,6th Rate,British
Panther,4th Rate,British
Chesterfield,5th Rate,British
Phoenix,,Dutch
Snoek en Both,Fregat,Dutch
Eenigheijt,,Dutch
Eenigheijt,Snauw,Dutch
Vrouwe Johanna Cores,Fregat,Dutch
Chatham,4th Rate,British
Rose,,British
Rose,6th Rate,British
Liverpool,6th Rate,British
Alderney,Sloop,British
Baleine,5th Rate,British
Terpsichore,5th Rate,British
Terpsichore,6th Rate,British
Terpsichore,5th rate,British
Argo,6th Rate,British
Boston,5th Rate,British
Manilla,Sloop,British
Swift,Sloop,British
Druid,Sloop,British
Arundel,6th Rate,British
Perseus,6th Rate,British
Shoreham,6th Rate,British
Shannon,5th Rate,British
Ludlow Castle,6th Rate,British
Nisus,5th Rate,British
Nisus,,British
Zanggodin,Snauw,Dutch
Zanggodin,,Dutch
Vliegende Faam,,Dutch
Vliegende Faam,Snauw,Dutch
Boreas,6th Rate,British
Favourite,Sloop,British
Squirrel,6th Rate,British
Martin,Sloop,British
Vansittart,,British
Merlin,Sloop,British
Guernsey,4th Rate,British
Romney,4th Rate,British
Romney,4th rate,British
Fowey,6th Rate,British
Pearl,5th Rate,British
Constellation,Brik,American
Hannach,Brik,American
Havick,Fregat,Dutch
Havick,Sloep,Dutch
Prins Frederik,,Dutch
Nymphe,Fregat,French
Havick,Korvet,Dutch
Fanny,,Dutch
LIEBRE,FRAGATA,Spanish
EL GRAN PODER DE DIOS,BALANDRA,Spanish
DRAGÓN,NAVÍO,Spanish
DESCONOCIDO-23,DESCONOCIDA,Spanish
SAN PEDRO,NAVÍO,Spanish
SANTA TERESA (ALIAS DRAGON),NAVÍO,Spanish
SAN PEDRO APOSTOL,NAVÍO,Spanish
DESCONOCIDO-23,NAVÍO,Spanish
SAN DÁMASO,NAVÍO,Spanish
SAN DÁMASO,,Spanish
SAN JOSEPH (PODEROSO),NAVÍO,Spanish
ANDALUZ,CHAMBEQUÍN,Spanish
EL HOPP,BERGANTÍN,Spanish
SANTO DOMINGO,FRAGATA,Spanish
SANTO DOMINGO,NAVÍO,Spanish
SANTO DOMINGO,NAVIO,Spanish
SANTO DOMINGO,BUQUE,Spanish
DESCONOCIDO-24,DESCONOCIDO,Spanish
